description,industry,level,size,line_code,value,Unit,footnotes
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Agriculture, forestry, & fishing support services",2,total,D0306.04,165,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Mining,1,total,D0306.04,18,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Manufacturing,1,total,D0306.04,1023,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Food, beverage, & tobacco",2,total,D0306.04,231,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Textile, clothing, footwear, & leather",2,total,D0306.04,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Wood & paper product,2,total,D0306.04,69,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Printing, publishing, & recorded media",2,total,D0306.04,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,"Petroleum, coal, chemical, & associated product",2,total,D0306.04,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Non-metallic mineral product,2,total,D0306.04,39,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Metal product,2,total,D0306.04,174,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Transport and industrial machinery & equipment,2,total,D0306.04,201,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in next 5 years: Increased difficulty producing or providing current goods and services: don't know,Other machinery & equipment,2,total,D0306.04,60,Number of businesses,1 and 2 and 3 and 6
